name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;ranking;bestgame;alltime;cabinets;freeplay;short_title;
"mkla4";"Mortal Kombat (rev 4.0 09/28/92)";"1992";Midway;NO;mk;YES;mk;-;YES;NO;NO;-;NO;YES;NO;YES;midway/midyunit.cpp;"Mame 0.36b16";"2000-02-03";"Mame 0.256";"2023-06-28";2;6;3;1;1;RASTER;"0";HORIZONTAL;410;256;54.706840;"joystick (8-way)";"CRT 15kHz";"Texas Instruments TMS34010,Motorola MC6809E";"maincpu Texas Instruments TMS34010 @48 MHz, adpcm:cpu Motorola MC6809E @2 MHz";"Speaker,Williams ADPCM Sound Board,YM2151 OPM,AD7524 DAC,OKI MSM6295 ADPCM";"speaker Speaker, adpcm Williams ADPCM Sound Board, adpcm:ym2151 YM2151 OPM @3.579545 MHz, adpcm:dac AD7524 DAC, adpcm:oki OKI MSM6295 ADPCM @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;"Mortal Kombat";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Mortal Kombat";
"mkr4";"Mortal Kombat (rev 4.0 T-Unit 02/11/93)";"1992";Midway;NO;mk;YES;mk;-;YES;NO;NO;-;NO;YES;NO;YES;midway/midtunit.cpp;"Mame 0.37b9 (0.45)";"2000-11-06";"Mame 0.256";"2023-06-28";2;6;4;1;1;RASTER;"0";HORIZONTAL;400;254;54.706840;"joystick (8-way)";"CRT 15kHz";"Texas Instruments TMS34010,Motorola MC6809E";"maincpu Texas Instruments TMS34010 @50 MHz, adpcm:cpu Motorola MC6809E @2 MHz";"Speaker,Williams ADPCM Sound Board,YM2151 OPM,AD7524 DAC,OKI MSM6295 ADPCM";"speaker Speaker, adpcm Williams ADPCM Sound Board, adpcm:ym2151 YM2151 OPM @3.579545 MHz, adpcm:dac AD7524 DAC, adpcm:oki OKI MSM6295 ADPCM @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;"Mortal Kombat";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Mortal Kombat";
mkyturboe;"Mortal Kombat (Turbo 3.0 08/31/92, hack)";"1992";hack;NO;mk;YES;mk;-;YES;NO;NO;-;NO;YES;NO;YES;midway/midyunit.cpp;"Mame 0.145u5";"2012-03-25";"Mame 0.256";"2023-06-28";2;6;3;1;1;RASTER;"0";HORIZONTAL;410;256;54.706840;"joystick (8-way)";"CRT 15kHz";"Texas Instruments TMS34010,Motorola MC6809E";"maincpu Texas Instruments TMS34010 @48 MHz, adpcm:cpu Motorola MC6809E @2 MHz";"Speaker,Williams ADPCM Sound Board,YM2151 OPM,AD7524 DAC,OKI MSM6295 ADPCM";"speaker Speaker, adpcm Williams ADPCM Sound Board, adpcm:ym2151 YM2151 OPM @3.579545 MHz, adpcm:dac AD7524 DAC, adpcm:oki OKI MSM6295 ADPCM @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;"Mortal Kombat";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Mortal Kombat";
mkyturbo;"Mortal Kombat (Turbo 3.1 09/09/93, hack)";"1992";hack;NO;mk;YES;mk;-;YES;NO;NO;-;NO;YES;NO;YES;midway/midyunit.cpp;"Mame 0.133u5";"2009-09-06";"Mame 0.256";"2023-06-28";2;6;3;1;1;RASTER;"0";HORIZONTAL;410;256;54.706840;"joystick (8-way)";"CRT 15kHz";"Texas Instruments TMS34010,Motorola MC6809E";"maincpu Texas Instruments TMS34010 @48 MHz, adpcm:cpu Motorola MC6809E @2 MHz";"Speaker,Williams ADPCM Sound Board,YM2151 OPM,AD7524 DAC,OKI MSM6295 ADPCM";"speaker Speaker, adpcm Williams ADPCM Sound Board, adpcm:ym2151 YM2151 OPM @3.579545 MHz, adpcm:dac AD7524 DAC, adpcm:oki OKI MSM6295 ADPCM @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;"Mortal Kombat";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Mortal Kombat";
mktturbo;"Mortal Kombat (Turbo Ninja T-Unit 03/19/93, hack)";"1992";hack;NO;mk;YES;mk;-;YES;NO;NO;-;NO;YES;NO;YES;midway/midtunit.cpp;"Mame 0.133u5";"2009-09-06";"Mame 0.256";"2023-06-28";2;6;4;1;1;RASTER;"0";HORIZONTAL;400;254;54.706840;"joystick (8-way)";"CRT 15kHz";"Texas Instruments TMS34010,Motorola MC6809E";"maincpu Texas Instruments TMS34010 @50 MHz, adpcm:cpu Motorola MC6809E @2 MHz";"Speaker,Williams ADPCM Sound Board,YM2151 OPM,AD7524 DAC,OKI MSM6295 ADPCM";"speaker Speaker, adpcm Williams ADPCM Sound Board, adpcm:ym2151 YM2151 OPM @3.579545 MHz, adpcm:dac AD7524 DAC, adpcm:oki OKI MSM6295 ADPCM @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;"Mortal Kombat";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Mortal Kombat";
mkyawdim;"Mortal Kombat (Yawdim bootleg, set 1)";"1992";"bootleg (Yawdim)";NO;mk;YES;mk;-;YES;NO;NO;-;NO;YES;NO;YES;midway/midyunit.cpp;"Mame 0.94";"2005-03-06";"Mame 0.256";"2023-06-28";2;6;3;1;1;RASTER;"0";HORIZONTAL;410;256;54.706840;"joystick (8-way)";"CRT 15kHz";"Texas Instruments TMS34010,Zilog Z80";"maincpu Texas Instruments TMS34010 @40 MHz, audiocpu Zilog Z80 @4 MHz";"Speaker,OKI MSM6295 ADPCM";"speaker Speaker, oki OKI MSM6295 ADPCM @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;"Mortal Kombat";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Mortal Kombat";
"mkyawdim2";"Mortal Kombat (Yawdim bootleg, set 2)";"1992";"bootleg (Yawdim)";NO;mk;YES;mk;-;YES;NO;NO;-;NO;YES;NO;YES;midway/midyunit.cpp;"Mame 0.145u2";"2012-02-26";"Mame 0.256";"2023-06-28";2;6;3;1;1;RASTER;"0";HORIZONTAL;410;256;54.706840;"joystick (8-way)";"CRT 15kHz";"Texas Instruments TMS34010,Zilog Z80";"maincpu Texas Instruments TMS34010 @40 MHz, audiocpu Zilog Z80 @4 MHz";"Speaker,OKI MSM6295 ADPCM";"speaker Speaker, oki OKI MSM6295 ADPCM @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;NODUMP;-;"Fighter / Versus";Fighter;"Mortal Kombat";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Mortal Kombat";
"mkyawdim3";"Mortal Kombat (Yawdim bootleg, set 3)";"1992";"bootleg (Yawdim)";NO;mk;YES;mk;-;YES;NO;NO;-;NO;YES;NO;YES;midway/midyunit.cpp;"Mame 0.157";"2014-12-31";"Mame 0.256";"2023-06-28";2;6;3;1;1;RASTER;"0";HORIZONTAL;410;256;54.706840;"joystick (8-way)";"CRT 15kHz";"Texas Instruments TMS34010,Zilog Z80";"maincpu Texas Instruments TMS34010 @40 MHz, audiocpu Zilog Z80 @4 MHz";"Speaker,OKI MSM6295 ADPCM";"speaker Speaker, oki OKI MSM6295 ADPCM @1 MHz";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;"Mortal Kombat";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Mortal Kombat";
"mkyawdim4";"Mortal Kombat (Yawdim bootleg, set 4)";"1992";"bootleg (Yawdim)";NO;mk;YES;mk;-;YES;NO;NO;-;NO;YES;NO;YES;midway/midyunit.cpp;"Mame 0.164";"2015-07-29";"Mame 0.256";"2023-06-28";2;6;3;1;1;RASTER;"0";HORIZONTAL;410;256;54.706840;"joystick (8-way)";"CRT 15kHz";"Texas Instruments TMS34010,Zilog Z80";"maincpu Texas Instruments TMS34010 @40 MHz, audiocpu Zilog Z80 @4 MHz";"Speaker,OKI MSM6295 ADPCM";"speaker Speaker, oki OKI MSM6295 ADPCM @1 MHz";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;"Mortal Kombat";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Mortal Kombat";
"mk3mdb";"Mortal Kombat 3 (bootleg of Mega Drive version)";"1996";"bootleg / Midway";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;sega/megadriv_acbl.cpp;"Mame 0.139u3";"2010-09-20";"Mame 0.256";"2023-06-28";2;6;2;2;1;RASTER;"0";HORIZONTAL;256;224;59.922743;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @7.670453 MHz, genesis_snd_z80 Zilog Z80 @3.579545 MHz";"Sega 315-5313 Megadrive VDP,Sega VDP PSG,Speaker,YM2612 OPN2";"gen_vdp Sega 315-5313 Megadrive VDP @53.693175 MHz, gen_vdp:snsnd Sega VDP PSG @3.579545 MHz, lspeaker Speaker, rspeaker Speaker, ymsnd YM2612 OPN2 @7.670453 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;"Mortal Kombat";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=2Lg4eFZtvvU";-;0;NO;NO;NO;NO;English;"80 to 90 (Very Good)";-;-;NO;"Mortal Kombat 3";
