name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;ranking;bestgame;alltime;cabinets;freeplay;short_title;
"tekken51b";"Tekken 5.1 (TE53 Ver. B)";"2005";Namco;NO;"tekken51";YES;"tekken51";-;YES;NO;NO;"sys256";NO;YES;YES;NO;"namco/namcops2.cpp";"Mame 0.166";"2015-09-30";"Mame 0.261";"2023-11-29";0;0;0;0;1;RASTER;"0";HORIZONTAL;640;480;60.000000;-;"CRT 31kHz";"MIPS R5000 (little)";"maincpu MIPS R5000 (little) @294 MHz";-;-;PRELIMINARY;PRELIMINARY;GOOD;PRELIMINARY;GOOD;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;Tekken;English;-;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Tekken 5.1";
tektagtac;"Tekken Tag Tournament (Asia, TEG2/VER.C1, set 1)";"1999";Namco;NO;tektagt;YES;tektagt;-;YES;NO;NO;-;NO;YES;NO;NO;"namcos12.cpp";"Mame 0.142u2";"2011-04-25";"Mame 0.185";"2017-04-26";2;6;2;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"CXD8661R,H8/3002";"maincpu CXD8661R @100 MHz, sub H8/3002 @16.9344 MHz";"Speaker,Speaker,C352";"lspeaker Speaker, rspeaker Speaker, c352 C352 @25.4016 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Fighter / Versus";Fighter;Tekken;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;YES;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Tekken Tag Tournament";
"tektagtac1";"Tekken Tag Tournament (Asia, TEG2/VER.C1, set 2)";"1999";Namco;NO;tektagt;YES;tektagt;-;YES;NO;NO;-;NO;YES;NO;NO;"namcos12.cpp";"Mame 0.145";"2012-02-05";"Mame 0.185";"2017-04-26";2;6;2;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"CXD8661R,H8/3002";"maincpu CXD8661R @100 MHz, sub H8/3002 @16.9344 MHz";"Speaker,Speaker,C352";"lspeaker Speaker, rspeaker Speaker, c352 C352 @25.4016 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;-;"Fighter / Versus";Fighter;Tekken;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;YES;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Tekken Tag Tournament";
tektagtja;"Tekken Tag Tournament (Japan, TEG1/VER.A3)";"1999";Namco;NO;tektagt;YES;tektagt;-;YES;NO;NO;-;NO;YES;NO;NO;"namco/namcos12.cpp";"Mame 0.142u2";"2011-04-25";"Mame 0.261";"2023-11-29";2;6;2;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"Hitachi H8/3002,Sony CXD8661R";"sub Hitachi H8/3002 @16.9344 MHz, maincpu Sony CXD8661R @100 MHz";"Speaker,Namco C352";"lspeaker Speaker, rspeaker Speaker, c352 Namco C352 @25.4016 MHz";PRELIMINARY;PRELIMINARY;GOOD;GOOD;IMPERFECT;GOOD;GOOD;NODUMP;-;"Fighter / Versus";Fighter;Tekken;Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;Japanese;-;-;-;NO;"Tekken Tag Tournament";
tektagtjb;"Tekken Tag Tournament (Japan, TEG1/VER.B)";"1999";Namco;NO;tektagt;YES;tektagt;-;YES;NO;NO;-;NO;YES;NO;NO;"namco/namcos12.cpp";"Mame 0.142u2";"2011-04-25";"Mame 0.261";"2023-11-29";2;6;2;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"Hitachi H8/3002,Sony CXD8661R";"sub Hitachi H8/3002 @16.9344 MHz, maincpu Sony CXD8661R @100 MHz";"Speaker,Namco C352";"lspeaker Speaker, rspeaker Speaker, c352 Namco C352 @25.4016 MHz";PRELIMINARY;PRELIMINARY;GOOD;GOOD;IMPERFECT;GOOD;GOOD;BADDUMP;-;"Fighter / Versus";Fighter;Tekken;Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;Japanese;-;-;-;NO;"Tekken Tag Tournament";
"tektagtjc1";"Tekken Tag Tournament (Japan, TEG1/VER.C1)";"1999";Namco;NO;tektagt;YES;tektagt;-;YES;NO;NO;-;NO;YES;NO;NO;"namco/namcos12.cpp";"Mame 0.150";"2013-09-17";"Mame 0.261";"2023-11-29";2;6;2;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"Hitachi H8/3002,Sony CXD8661R";"sub Hitachi H8/3002 @16.9344 MHz, maincpu Sony CXD8661R @100 MHz";"Speaker,Namco C352";"lspeaker Speaker, rspeaker Speaker, c352 Namco C352 @25.4016 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;Tekken;Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;Japanese;-;-;-;NO;"Tekken Tag Tournament";
tektagtub;"Tekken Tag Tournament (US, TEG3/VER.B)";"1999";Namco;NO;tektagt;YES;tektagt;-;YES;NO;NO;-;NO;YES;NO;NO;"namco/namcos12.cpp";"Mame 0.142u2";"2011-04-25";"Mame 0.261";"2023-11-29";2;6;2;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"Hitachi H8/3002,Sony CXD8661R";"sub Hitachi H8/3002 @16.9344 MHz, maincpu Sony CXD8661R @100 MHz";"Speaker,Namco C352";"lspeaker Speaker, rspeaker Speaker, c352 Namco C352 @25.4016 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;Tekken;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Tekken Tag Tournament";
"tektagtuc1";"Tekken Tag Tournament (US, TEG3/VER.C1)";"1999";Namco;NO;tektagt;YES;tektagt;-;YES;NO;NO;-;NO;YES;NO;NO;"namco/namcos12.cpp";"Mame 0.186";"2017-05-31";"Mame 0.261";"2023-11-29";2;6;2;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"Hitachi H8/3002,Sony CXD8661R";"sub Hitachi H8/3002 @16.9344 MHz, maincpu Sony CXD8661R @100 MHz";"Speaker,Namco C352";"lspeaker Speaker, rspeaker Speaker, c352 Namco C352 @25.4016 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;Tekken;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Tekken Tag Tournament";
tektagt;"Tekken Tag Tournament (World, TEG2/VER.C1, set 1)";"1999";Namco;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;"namco/namcos12.cpp";"Mame 0.102u5";"2005-12-22";"Mame 0.261";"2023-11-29";2;6;2;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"Hitachi H8/3002,Sony CXD8661R";"sub Hitachi H8/3002 @16.9344 MHz, maincpu Sony CXD8661R @100 MHz";"Speaker,Namco C352";"lspeaker Speaker, rspeaker Speaker, c352 Namco C352 @25.4016 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;Tekken;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=quBycXP5gZA";-;95;NO;NO;NO;NO;English;"90 to 100 (Best Games)";-;-;NO;"Tekken Tag Tournament";
"tektagtc1";"Tekken Tag Tournament (World, TEG2/VER.C1, set 2)";"1999";Namco;NO;tektagt;YES;tektagt;-;YES;NO;NO;-;NO;YES;NO;NO;"namco/namcos12.cpp";"Mame 0.186";"2017-05-31";"Mame 0.261";"2023-11-29";2;6;2;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"Hitachi H8/3002,Sony CXD8661R";"sub Hitachi H8/3002 @16.9344 MHz, maincpu Sony CXD8661R @100 MHz";"Speaker,Namco C352";"lspeaker Speaker, rspeaker Speaker, c352 Namco C352 @25.4016 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;Tekken;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Tekken Tag Tournament";
